Year,Month,Day,pr(mm),etr(mm),rmax(%),sph(kg/kg),srad(Wm-2),vs(mps),th(DegreesClockwisefromnorth),ClimateRegion 
2024,1,1,0,2.7,87.2,0.00295,122.4,4,302,1
2024,1,2,0,2.6,71.7,0.00241,132,2.6,290,1
2024,1,3,0,1.8,78.6,0.00282,111.3,2.3,240,1
2024,1,4,0,3.2,72.7,0.00267,132.9,3.3,8,1
2024,1,5,24.9,3.4,70.5,0.00259,133.3,5.9,84,1
2024,1,6,1,2.5,65.9,0.00337,94.7,3.6,52,1
2024,1,7,0,2.5,89.4,0.00335,126.5,5.6,288,1
2024,1,8,52.4,3.2,77,0.00304,82.7,6.7,87,1
2024,1,9,48.2,1.7,100,0.00568,72.9,9.6,195,1
2024,1,10,0,2.9,82.7,0.00299,134.6,6.1,255,1
2024,1,11,0,3,100,0.00368,134,3,230,1
2024,1,12,18.1,1.5,93.6,0.00391,50.4,3.6,115,1
2024,1,13,0,2.8,78.6,0.00262,140.1,6.3,273,1
2024,1,14,0,3.3,81.5,0.0026,139.2,3.6,261,1
2024,1,15,6.4,2.5,75.3,0.00374,83.3,2.1,175,1
2024,1,16,0.5,1,100,0.00277,134.1,4.4,299,1
2024,1,17,0,2.4,61.6,0.00119,146.8,3.4,278,1
2024,1,18,1.6,2.4,65.7,0.0017,138.1,1.9,163,1
2024,1,19,0,2.1,100,0.00258,131.4,5.7,291,1
2024,1,20,0,2,66.3,0.00123,150.1,4.2,325,1
2024,1,21,0,2.5,65,0.00116,150.5,3.1,66,1
2024,1,22,0.4,3.1,63.3,0.00181,146.3,4,80,1
2024,1,23,2.5,2.3,73,0.004,35.2,4.9,70,1
2024,1,24,34.2,3.1,76.1,0.00591,35.1,4.7,82,1
2024,1,25,22,3.4,79,0.00909,86.6,3.6,165,1
2024,1,26,0.3,3,89.6,0.00865,140,3.2,230,1
2024,1,27,30,1.4,100,0.00807,67.5,3,157,1
2024,1,28,0,2.7,80.4,0.00437,130.9,7.8,277,1
2024,1,29,0,3,92,0.0036,153,3.5,302,1
2024,1,30,3.2,2.9,86.3,0.00338,156.9,2.3,245,1
2024,1,31,0,2.8,89.8,0.00359,157.8,2.9,311,1
2024,2,1,0,3.7,85.6,0.0034,160.6,2.9,262,1
2024,2,2,0,5,64.7,0.00408,153,3.3,292,1
2024,2,3,0,3.8,78.7,0.00434,157.3,5,81,1
2024,2,4,5,3.8,64.3,0.00355,135,8.4,67,1
2024,2,5,0,5,79.1,0.00368,89.6,6,55,1
2024,2,6,0,4.4,75.9,0.00334,167.4,3.6,52,1
2024,2,7,0,3.8,68.8,0.00286,170.6,3.4,74,1
2024,2,8,0,3.1,75.7,0.0031,159.1,2.6,99,1
2024,2,9,0,2.3,79.7,0.00522,86.9,2,171,1
2024,2,10,4.5,3.1,90.5,0.00716,128.9,3.2,208,1
2024,2,11,45.3,3.1,77.4,0.00846,104.8,3.5,205,1
2024,2,12,46.4,0.7,100,0.00848,87,4.3,175,1
2024,2,13,0,4.6,73.1,0.00358,177.7,6.2,291,1
2024,2,14,0,3.8,69.5,0.00326,179.5,2.1,284,1
2024,2,15,0,4.9,83.6,0.004,180.8,3.6,240,1
2024,2,16,0,3.8,80.6,0.00532,154.8,3.3,231,1
2024,2,17,0,2.5,94.4,0.00372,162.8,4.5,318,1
2024,2,18,0,3.3,53.1,0.00203,184.9,2.4,305,1
2024,2,19,0,3.8,59.9,0.00232,190.2,2.3,40,1
2024,2,20,0,2.9,70.4,0.00274,137.4,1.5,88,1
2024,2,21,0,4.2,73.5,0.00321,180,2.8,122,1
2024,2,22,0,5,100,0.005,184.3,4.2,201,1
2024,2,23,0,4.8,91.7,0.00541,185,5.6,276,1
2024,2,24,0,6.8,75.7,0.00328,179.6,5.4,289,1
2024,2,25,0,5.1,56.2,0.00313,199.4,2.2,211,1
2024,2,26,0,6.5,71.2,0.00439,197.6,3.7,204,1
2024,2,27,0,4.2,100,0.00701,114.3,4.5,178,1
2024,2,28,0,4.5,100,0.00658,137.6,6.3,254,1
2024,2,29,0,6.8,54.6,0.00262,180.9,4,62,1
2024,3,1,46.4,1.7,83.7,0.00442,65.2,5.9,74,1
2024,3,2,0,2.8,94.7,0.00657,197.5,1.9,81,1
2024,3,3,0,3.7,99.8,0.00802,205,2.7,113,1
2024,3,4,0,3.9,92.3,0.00855,208.8,2.9,108,1
2024,3,5,56.1,3.1,84.1,0.00802,122.7,3.9,118,1
2024,3,6,2.6,2.1,92.8,0.00788,116.1,3.1,66,1
2024,3,7,0,4.9,75.7,0.00661,216.4,2.7,79,1
2024,3,8,37.2,3.8,78.5,0.0076,104.3,6.3,102,1
2024,3,9,0.5,3,100,0.00698,146.7,4.8,10,1
2024,3,10,0,5.4,71.7,0.00321,233.3,5.9,299,1
2024,3,11,0,5.4,61.4,0.00281,218.1,3.2,280,1
2024,3,12,0,6.1,66.8,0.00371,232.2,3.1,264,1
2024,3,13,0,5.6,73.1,0.00478,221.9,2.8,262,1
2024,3,14,2.5,5.6,86.6,0.00662,228.6,2.4,184,1
2024,3,15,8.1,4.3,82.1,0.00842,161.1,3.7,245,1
2024,3,16,0,5.4,73.9,0.00672,226.9,3.7,275,1
2024,3,17,0,5.1,78.7,0.0058,143.2,4.1,265,1
2024,3,18,0,4.9,75.8,0.00315,175.1,5.3,308,1
2024,3,19,0,5.4,59.4,0.00257,250.6,4,274,1
2024,3,20,0,7.6,62.6,0.00415,242,4.7,265,1
2024,3,21,0,6.7,66.2,0.00505,237.3,3.3,78,1
2024,3,22,16.7,4.1,70.1,0.00678,85.7,5.8,87,1
2024,3,23,0,4.3,100,0.00604,159.6,3.9,355,1
2024,3,24,0,6,67.4,0.00377,231.2,5.5,76,1
2024,3,25,1,6,66.1,0.00431,234.6,7.3,90,1
2024,3,26,21.9,3.1,71,0.00589,76.3,5.1,83,1
2024,3,27,0,4.9,77.5,0.00685,238.5,2.2,53,1
2024,3,28,0,6.2,79.2,0.00437,224.9,4.1,341,1
2024,3,29,0,6.8,56.1,0.00339,262.6,3.5,279,1
2024,3,30,0,7.8,67.8,0.00499,259.4,4.5,249,1
2024,3,31,0,6.5,84.3,0.00826,226.8,4.1,246,1
2024,4,1,0,5.8,80.2,0.01037,234.5,4.7,238,1
