Year,Month,Day,pr(mm),etr(mm),rmax(%),sph(kg/kg),srad(Wm-2),vs(mps),th(DegreesClockwisefromnorth),ClimateRegion 
2024,1,1,0,3.6,82.1,0.0033,108.1,4.1,302,4
2024,1,2,0,3.1,72,0.00249,138.1,3.3,313,4
2024,1,3,0,1.8,84.6,0.00296,135.4,1.6,230,4
2024,1,4,0,2.7,95.4,0.00305,138.5,3.8,350,4
2024,1,5,5.2,3,78.9,0.00253,141.7,4.2,64,4
2024,1,6,13.7,4.9,76.9,0.00499,74.2,4.3,153,4
2024,1,7,0,3.6,85.7,0.00378,138.1,4.9,275,4
2024,1,8,1.2,3.2,68.1,0.00315,139.7,4.4,71,4
2024,1,9,38.1,4.5,100,0.00719,58.3,10.4,166,4
2024,1,10,0,3.7,74.9,0.00353,141.8,7.1,255,4
2024,1,11,0,2.9,85.9,0.00345,142.6,2.8,239,4
2024,1,12,12.4,4,100,0.00597,82.4,6,146,4
2024,1,13,0,2.9,94.9,0.0043,146.7,6.4,264,4
2024,1,14,0,3.8,60.6,0.00273,149,3.1,243,4
2024,1,15,0,2.8,75.7,0.00431,144.1,2,134,4
2024,1,16,2.5,0.3,100,0.00532,43.1,3.7,310,4
2024,1,17,0,2.3,55.5,0.00158,155,2.7,324,4
2024,1,18,0,2.1,96.1,0.00296,145.6,1.5,106,4
2024,1,19,0,3.9,100,0.00354,143.8,5.6,279,4
2024,1,20,0,2.5,62.8,0.00151,154.7,4.6,339,4
2024,1,21,0,2.5,50.8,0.00119,158.8,2.7,4,4
2024,1,22,0,2.9,74.9,0.00195,155.2,2.7,65,4
2024,1,23,0,2.5,79.5,0.00495,65.3,3.1,67,4
2024,1,24,1.1,3.8,78,0.0077,54.2,3.8,123,4
2024,1,25,0.4,4.4,64.5,0.00924,72.8,4,170,4
2024,1,26,0,5,89,0.00972,135,4.4,206,4
2024,1,27,0.3,4.5,79.5,0.00881,118.2,4.2,163,4
2024,1,28,0,4.4,98.5,0.00611,153.2,7.3,256,4
2024,1,29,0,4.2,83.9,0.0036,155.9,4.3,332,4
2024,1,30,2.9,3.1,83.7,0.00372,161.4,2.4,123,4
2024,1,31,0.3,1.2,100,0.0045,85.7,2.4,354,4
2024,2,1,0,2.5,96.8,0.0039,167.4,2.2,243,4
2024,2,2,0,3.6,80.4,0.00395,158.1,2.4,283,4
2024,2,3,0,3.2,97.4,0.0037,169.9,4.7,54,4
2024,2,4,0,3.9,83.7,0.00346,175.2,5.8,63,4
2024,2,5,0,4.6,76.3,0.00397,139.6,6,47,4
2024,2,6,0,4.5,72.7,0.00304,178.7,6.2,31,4
2024,2,7,0,3.8,67.8,0.00244,183.3,3.5,35,4
2024,2,8,0,3,87.3,0.00321,177.1,2.2,101,4
2024,2,9,0,3.3,79,0.00538,143.4,2.6,208,4
2024,2,10,0,4.7,77.3,0.00702,158.7,4.1,213,4
2024,2,11,15.9,3.4,73.7,0.00825,68.5,3.6,207,4
2024,2,12,36.6,1.5,99.5,0.00857,66.5,3.1,148,4
2024,2,13,0,4.4,100,0.00452,188,6.3,286,4
2024,2,14,0,3.9,70,0.00315,191.1,2.4,290,4
2024,2,15,0,5,84.9,0.00431,191.4,3.6,229,4
2024,2,16,0,3.7,75.1,0.00498,164.8,3.5,222,4
2024,2,17,0,3,93.5,0.00454,132.6,5,324,4
2024,2,18,0,2.5,62.3,0.0023,186,1.9,11,4
2024,2,19,0,3.1,64.9,0.00248,141.7,2,18,4
2024,2,20,0,4.1,68,0.00277,204.9,3.2,47,4
2024,2,21,0,3.8,67.7,0.00282,205.9,2.5,35,4
2024,2,22,0,4.5,94.9,0.00414,198.2,3.7,195,4
2024,2,23,0,3.8,100,0.00601,130.4,5.9,246,4
2024,2,24,0,5.5,77.3,0.0038,170.8,4.7,282,4
2024,2,25,0,4.9,55.5,0.00301,215.3,2.1,320,4
2024,2,26,0,6.6,68,0.00423,212.5,3.6,211,4
2024,2,27,0,6.9,100,0.00627,104.1,5.8,193,4
2024,2,28,0,3.9,100,0.00782,184.2,7.5,222,4
2024,2,29,0,8.3,52.9,0.00308,210.5,4.7,33,4
2024,3,1,37.1,3,83.6,0.00609,57.4,6.2,97,4
2024,3,2,0,1.9,100,0.00851,121.4,2.5,179,4
2024,3,3,0,3.4,80.1,0.00778,178.6,2.1,127,4
2024,3,4,0,3.7,100,0.00778,206.2,2.5,50,4
2024,3,5,3,4.4,90.5,0.00742,224.9,2.4,117,4
2024,3,6,27.8,3.4,80.1,0.00885,128.5,2.9,133,4
2024,3,7,0,3.8,85.8,0.00794,170.2,2.6,32,4
2024,3,8,9.7,4.9,75.8,0.00719,141,5.6,96,4
2024,3,9,4.6,5.2,95.4,0.00926,112.9,6.6,159,4
2024,3,10,0,5.9,87.2,0.00459,245.2,6.1,301,4
2024,3,11,0,5.8,55.1,0.00288,252.7,3.7,285,4
2024,3,12,0,6.2,71.8,0.0042,248.4,3.2,252,4
2024,3,13,0,6.2,74,0.00486,248.3,2.8,250,4
2024,3,14,0,6.2,74.4,0.00556,248.4,2.5,229,4
2024,3,15,4.6,5.7,79.9,0.00823,184.3,4.1,234,4
2024,3,16,0,4.8,91.4,0.00883,242.7,2.7,209,4
2024,3,17,0,6.2,70.6,0.0068,165.4,4.7,251,4
2024,3,18,0,4.1,100,0.005,148.2,4.3,315,4
2024,3,19,0,5.4,52.9,0.00287,267.2,4.3,274,4
2024,3,20,0,7.4,68.6,0.00425,262.1,4.3,253,4
2024,3,21,0,6.7,63.4,0.0049,262.4,3.9,70,4
2024,3,22,8.6,5.6,79.7,0.00711,157,6.2,107,4
2024,3,23,0,3.5,100,0.0078,174.9,5,351,4
2024,3,24,0,5.3,74,0.00373,276.2,5.9,49,4
2024,3,25,0,5.9,74.5,0.0042,271.1,4.7,74,4
2024,3,26,3.7,6.4,80.8,0.00639,244.4,5.6,108,4
2024,3,27,14.3,3.8,86.3,0.00863,125.2,3.3,115,4
2024,3,28,0.5,2.7,100,0.00641,121.1,4.1,333,4
2024,3,29,0,7.2,61.3,0.00412,279.7,4.3,273,4
2024,3,30,0,8.7,57.1,0.00504,277.1,4.9,241,4
2024,3,31,0,8.1,68,0.00768,273.1,4.2,236,4
2024,4,1,0,7.8,71,0.00998,245.6,5.1,230,4
2024,4,2,12.8,7.6,69.9,0.01053,182,5.4,213,4
2024,4,3,6.6,4.9,100,0.00902,150.5,7.3,227,4
2024,4,4,0,6.5,55,0.00426,243.8,6.2,270,4
2024,4,5,0,5.8,70.7,0.00447,273.6,4.1,287,4
2024,4,6,0,5.4,70.1,0.00411,291.3,3.5,345,4
2024,4,7,0,4.7,67.7,0.00456,282.7,1.6,93,4
2024,4,8,0,6,77.1,0.00676,252.1,3.2,190,4
2024,4,9,0,4.3,75,0.00736,156.3,3.5,308,4
2024,4,10,9.5,6.7,71.9,0.00931,219.2,4.3,141,4
2024,4,11,5.4,4.3,98.6,0.01085,160.1,8.8,177,4
2024,4,12,0,8.2,77.3,0.00618,293.5,8,262,4
2024,4,13,0,8.6,67.3,0.00482,299.7,5.4,275,4
2024,4,14,0,8.1,64.2,0.00614,298.1,3.4,226,4
2024,4,15,0,9.5,69.2,0.00854,294.5,4.4,239,4
2024,4,16,0,7.9,80.9,0.00931,279.6,3.3,219,4
2024,4,17,0,7.3,72,0.0095,223.9,4.2,212,4
2024,4,18,0,6.4,78.5,0.00951,297.4,1.6,254,4
2024,4,19,0,6.6,80,0.01093,228.6,2.9,117,4
2024,4,20,8.6,6.3,98.1,0.01129,273.2,2.3,289,4
2024,4,21,3.5,2.8,88.1,0.0071,83,5.2,20,4
2024,4,22,0,4.2,92.6,0.00498,241.4,3.4,10,4
2024,4,23,0,5.8,69.8,0.00486,313.8,2.1,216,4
2024,4,24,1,7.8,76.7,0.00719,278.7,4.3,249,4
2024,4,25,0,6.2,88,0.00923,296.3,2.9,112,4
2024,4,26,0,6.5,80.7,0.00795,262.2,5.1,98,4
2024,4,27,0,6.4,83.8,0.00857,231.3,4.1,124,4
2024,4,28,0,5.7,87.4,0.00911,270.3,3.2,173,4
2024,4,29,0,7.4,75.4,0.00853,292.7,3.4,197,4
2024,4,30,1.5,6.6,92.5,0.0111,250.5,4.1,201,4
2024,5,1,0,5,100,0.01219,208,2.6,180,4
2024,5,2,0,6.6,100,0.01232,292.9,2.5,165,4
2024,5,3,0,7.1,86.9,0.01196,283.9,2.9,168,4
2024,5,4,5.3,5.8,82.8,0.01219,197.1,4.1,147,4
2024,5,5,11.2,6.5,82.6,0.01247,210.4,4.7,166,4
2024,5,6,23.8,5.3,92.9,0.01312,192.3,4,198,4
2024,5,7,5.4,6.4,100,0.01445,253.3,4,218,4
2024,5,8,31.7,6.6,100,0.01533,233.1,4.1,220,4
2024,5,9,3.2,3.9,100,0.01445,227.5,5.6,238,4
2024,5,10,10.5,5.7,100,0.01199,254,4.6,277,4
2024,5,11,0,6.3,85.5,0.00782,331.8,3.1,300,4
2024,5,12,0,6.8,80.8,0.00778,342.9,2.1,328,4
2024,5,13,7.1,6.7,80.8,0.00968,266,3.7,131,4
2024,5,14,4.5,5.2,87.8,0.01255,209.7,4.9,144,4
2024,5,15,41.9,5.4,100,0.01304,218.9,3.1,237,4
2024,5,16,0,6,94.9,0.01183,324.3,1.9,275,4
2024,5,17,1.7,5.6,89.7,0.01331,226.7,3.2,159,4
2024,5,18,6.5,4.7,96.3,0.01394,210.9,3.4,211,4
2024,5,19,0,4.2,97.7,0.01136,242,4.3,45,4
2024,5,20,0,6.4,96.2,0.0107,301.4,3.8,68,4
2024,5,21,0,6.9,96.1,0.01076,344.5,2.7,109,4
2024,5,22,0,7,90.1,0.01195,344,2.1,187,4
2024,5,23,0.3,7.8,85.4,0.01363,312.5,3.1,206,4
2024,5,24,1.5,7.3,91,0.01453,282.3,3.5,220,4
2024,5,25,16.8,5.3,100,0.01466,227.7,2,210,4
2024,5,26,0,7.1,88.2,0.01497,308.6,2.3,193,4
2024,5,27,0,8.5,85.3,0.01519,325.8,4.7,218,4
2024,5,28,0,6.4,100,0.01358,263.5,2.5,281,4
2024,5,29,0,7.9,78.9,0.01013,350.9,2.4,314,4
2024,5,30,0,7.9,78.3,0.00836,353.4,3,4,4
2024,5,31,0,7.1,97.4,0.00746,351.2,3.3,27,4
2024,6,1,0,8.1,78.7,0.00854,362.9,2.9,120,4
2024,6,2,0,6.8,85.2,0.01216,247,3.6,172,4
2024,6,3,0,5.8,100,0.01346,191,3.7,189,4
2024,6,4,0,6.7,99.2,0.01405,245,3.1,190,4
2024,6,5,3.3,7.6,91.6,0.01458,281.8,4.1,197,4
2024,6,6,10.2,8.1,96.9,0.01616,260.5,5.3,226,4
2024,6,7,0,7.1,100,0.014,289.3,3.2,282,4
2024,6,8,0,8.4,80.9,0.01042,360.2,2.5,337,4
2024,6,9,10.7,9.5,91.3,0.01263,347.4,3.9,252,4
2024,6,10,2.9,4,100,0.01357,231.6,2.4,310,4
2024,6,11,0,7,100,0.01259,298.4,3,72,4
2024,6,12,0,8.6,94,0.01294,347.7,3.9,87,4
2024,6,13,0,7.7,100,0.01396,295.5,4.3,81,4
2024,6,14,0,8,92.8,0.01367,353.4,2.2,36,4
2024,6,15,0,6.7,92.4,0.01508,262.4,1.9,178,4
2024,6,16,0,8,93.1,0.01476,272,3.9,129,4
2024,6,17,0,6.6,97,0.01298,195.5,3.3,112,4
2024,6,18,0,9.3,90.9,0.01181,352.2,4.2,99,4
2024,6,19,0,9.6,88.3,0.01203,305.1,4.9,93,4
2024,6,20,0,8,97.4,0.01312,271,4.2,98,4
2024,6,21,0,8.6,93.7,0.01441,329,4,108,4
2024,6,22,0,8.7,90.8,0.01601,297,4,160,4
2024,6,23,0,9.5,83.7,0.01604,271.2,4.5,186,4
2024,6,24,3.3,8.3,97.3,0.01634,226.8,3.7,238,4
2024,6,25,4.1,7.9,91.7,0.01648,250.7,3.6,150,4
2024,6,26,3.1,8.7,95.3,0.01758,254.6,4.8,183,4
2024,6,27,10,6,100,0.01736,238,3.5,188,4
2024,6,28,0.5,6.1,93.4,0.0163,172.1,3.1,130,4
2024,6,29,1.5,6.6,91.3,0.0169,206.9,2.8,174,4
2024,6,30,0.8,7.3,93.4,0.01773,211.3,3.9,195,4
2024,7,1,0,5.9,100,0.01567,253,4.3,74,4
2024,7,2,0,9.1,89.8,0.01225,361.6,4,94,4
2024,7,3,0,7.6,96.7,0.01499,293.7,2.7,139,4
2024,7,4,0,10,88.1,0.01558,330.5,4,193,4
2024,7,5,8.2,10,92.2,0.01769,222.2,5.2,200,4
2024,7,6,67.4,9.9,99.7,0.01769,292.1,4.6,196,4
2024,7,7,0.8,8.1,90.8,0.0162,331.4,3.9,176,4
2024,7,8,0,7.2,90.2,0.01676,255.3,3.7,188,4
2024,7,9,0,7.5,94,0.01732,245.8,3.3,185,4
2024,7,10,0,8.3,97.3,0.01765,279.8,3.5,193,4
2024,7,11,0,6.8,90.5,0.01623,257.5,3.5,80,4
