********************************************************,,,,,,,,,,
Year,Month,Day,pr(mm),etr(mm),rmax(%),sph(kg/kg),srad(Wm-2),vs(mps),th(DegreesClockwisefromnorth),ClimateRegion 
2024,1,1,0,2.8,91.5,0.00316,94.7,3.7,327,2
2024,1,2,0,2.6,78,0.00252,131,2.9,302,2
2024,1,3,0.5,1.7,85.4,0.00297,126.7,1.9,222,2
2024,1,4,0,2.6,89.6,0.00281,132,3.7,352,2
2024,1,5,12.4,2.6,71.3,0.00227,135.1,3.3,78,2
2024,1,6,15.6,2.2,74.1,0.00369,72.4,3.4,51,2
2024,1,7,0,3.2,84.6,0.00348,129.4,4.6,278,2
2024,1,8,4.9,3,69.5,0.00296,133.1,4.1,76,2
2024,1,9,42.4,3.5,100,0.00641,58.6,9.8,169,2
2024,1,10,0,3,93.9,0.00339,131.8,6.6,248,2
2024,1,11,0,2.9,96.5,0.00356,136.1,2.8,225,2
2024,1,12,23.1,2.3,100,0.00515,84.8,4.6,143,2
2024,1,13,0,2.7,100,0.00348,139.6,5.7,264,2
2024,1,14,0,3.3,77.1,0.00272,140.6,3.1,241,2
2024,1,15,0,2.7,85.6,0.00392,101,2.4,156,2
2024,1,16,6.1,0.3,100,0.0043,67.1,3.6,333,2
2024,1,17,0,2,66.6,0.00151,147.7,2.7,268,2
2024,1,18,0,2.4,71.9,0.00214,145.9,2,192,2
2024,1,19,0,3.4,100,0.00287,130.7,5.2,282,2
2024,1,20,0,2.3,63,0.00128,143.2,4.9,336,2
2024,1,21,0,1.9,59.5,0.00119,150.6,1.9,345,2
2024,1,22,0,2.3,59,0.00158,148.7,1.6,106,2
2024,1,23,1.5,1.9,70.5,0.00401,50.8,2.2,63,2
2024,1,24,6.1,2.2,92.2,0.0069,41.7,2.8,114,2
2024,1,25,8.9,3.1,71.3,0.0095,63.7,3.9,173,2
2024,1,26,0.4,3.4,98.7,0.00962,138.9,4,210,2
2024,1,27,34.9,2.3,92.3,0.00888,68.4,3.6,147,2
2024,1,28,0,2.9,100,0.00564,122.3,6.7,257,2
2024,1,29,0,3.7,89.4,0.00352,153.6,3.9,339,2
2024,1,30,4.2,2.8,85.4,0.00359,155.4,2.7,145,2
2024,1,31,3.3,1.4,100,0.00442,105.9,2.1,4,2
2024,2,1,1.3,2.5,100,0.00405,163.2,2.4,234,2
2024,2,2,0,3.4,88,0.00416,155.6,2.2,317,2
2024,2,3,0,2.8,97.4,0.00382,163.6,3.7,69,2
2024,2,4,0,3.6,69.6,0.00311,170.6,4.4,65,2
2024,2,5,0,4.6,62.2,0.00327,158,4.5,44,2
2024,2,6,0,4,73.6,0.00291,172.6,4.9,33,2
2024,2,7,0,3.1,65.6,0.00243,176.1,2.5,42,2
2024,2,8,0,2.7,71,0.00287,175.2,1.7,155,2
2024,2,9,0,3.3,67.5,0.00477,103.6,2.9,215,2
2024,2,10,0.7,4.2,77.6,0.00711,150,4,213,2
2024,2,11,12.5,2.8,74.3,0.00854,79.3,3.8,200,2
2024,2,12,19.3,1.5,100,0.00778,71.9,3.4,137,2
2024,2,13,0,4.2,95.5,0.004,182.6,5.8,295,2
2024,2,14,0,4.1,71.4,0.00319,183.7,2.8,281,2
2024,2,15,0,5,78.4,0.00418,184.9,3.9,230,2
2024,2,16,0,3.5,76.2,0.00483,162.5,3.2,218,2
2024,2,17,0,2.7,97.8,0.00392,148.2,4.7,329,2
2024,2,18,0,2.6,54.5,0.00199,185.5,1.9,293,2
2024,2,19,0,3.1,61.9,0.00226,165.1,1.8,8,2
2024,2,20,0,3.5,66.2,0.00262,198.1,2.3,75,2
2024,2,21,0,3.2,67.2,0.00298,198,1.9,72,2
2024,2,22,0,5.1,77.7,0.00423,189,4.4,199,2
2024,2,23,0,3.9,89.3,0.00558,125,5.1,253,2
2024,2,24,0,5,87.8,0.00352,135.5,4.6,286,2
2024,2,25,0,5.1,56.9,0.00291,208,2.3,263,2
2024,2,26,0,6.7,69.7,0.00436,203.2,4.2,208,2
2024,2,27,0,5.9,100,0.00666,96.3,6.1,191,2
2024,2,28,0,4.2,100,0.00713,162.7,7.5,231,2
2024,2,29,0,6.7,55.4,0.00253,207.1,3.4,37,2
2024,3,1,47.7,2.1,77.2,0.00474,62.3,4.3,81,2
2024,3,2,0,2.6,100,0.00774,176.2,2,153,2
2024,3,3,0,3.4,94.6,0.00735,199.6,2.3,113,2
2024,3,4,0,3.7,100,0.00762,209.3,2.5,67,2
2024,3,5,5.1,3.8,98.2,0.00753,211.7,2.3,146,2
2024,3,6,12.2,1.7,87.7,0.00837,91.4,2.2,61,2
2024,3,7,0,4,91.6,0.00756,210.9,2.6,55,2
2024,3,8,8.4,3.5,80.6,0.00707,116.2,5.1,108,2
2024,3,9,15.6,2.2,100,0.0077,103.7,4.5,138,2
2024,3,10,0,5.5,88,0.00361,238.3,5.6,302,2
2024,3,11,0,5.6,62.3,0.0028,243.2,3.6,274,2
2024,3,12,0,5.3,68.1,0.00375,241.6,2.2,255,2
2024,3,13,0,5.1,69.6,0.00443,239.8,1.9,247,2
2024,3,14,0,6.4,72.6,0.00566,238.9,2.6,226,2
2024,3,15,9.6,3.6,92.5,0.00832,164.1,3.6,242,2
2024,3,16,0,4.8,93.8,0.00774,237.9,2.5,284,2
2024,3,17,0,5.8,80.7,0.00645,178.2,4.3,248,2
2024,3,18,0,4.1,100,0.00407,138.7,4.5,324,2
2024,3,19,0,5.3,62.3,0.00278,257.2,4.3,259,2
2024,3,20,0,6.8,71.6,0.00419,252.9,3.9,259,2
2024,3,21,1.7,6.2,65.4,0.00449,253.7,3.5,76,2
2024,3,22,20,3.5,88.4,0.00683,170.1,5.7,106,2
2024,3,23,2.2,3.2,100,0.00697,151.3,4.8,8,2
2024,3,24,0,5.3,70.5,0.0033,266.3,5,52,2
2024,3,25,0,5,74,0.0039,264.8,4.1,80,2
2024,3,26,14.4,4.5,84.8,0.00613,185.2,4.6,106,2
2024,3,27,28.2,2.5,74.6,0.00621,128.5,2.6,50,2
2024,3,28,0,5.2,95.9,0.00497,154.2,4.7,340,2
2024,3,29,0,7.3,64.6,0.00387,269.7,4.4,276,2
2024,3,30,0,8,68.7,0.00508,266.6,4.6,241,2
2024,3,31,0,7.4,83.9,0.0082,260,3.9,231,2
2024,4,1,0,6.8,82.5,0.01049,239.7,4.7,226,2
2024,4,2,17.8,6.8,79.9,0.01103,160.1,5.5,209,2
2024,4,3,1.6,5.6,100,0.00824,188.2,7.4,230,2
